site,n_obs,rmse_log,mae_log,r2_log,years,model
115553_48392,361,0.484967742146935,0.3720280872498288,0.3822144305118571,2019,
114021_46842,362,0.59166611553614,0.4871633304312412,-0.4475316834527902,2019,
114158_46244,364,0.8295956219892768,0.6925607924881164,-0.0754474813321739,2019,
115324_47594,362,0.4943918014142925,0.3872129162783426,-0.0336841131156238,2019,
112501_46003,365,0.7871359068016299,0.6392979861528291,-0.1055329925596935,2019,
111092_44658,361,0.9664449173268276,0.7887020740566074,-1.4798304672154008,2019,
113484_47177,365,0.6253462117329871,0.5095374341534492,0.3019604441939703,2019,
112013_46659,365,0.6083395087161666,0.4907316743321127,0.0505500383723245,2019,
111303_47494,365,0.387302948267435,0.2922500005844943,0.1183174611008966,2019,
111056_45684,352,0.6291938029364132,0.5460346269628839,-1.055588298591371,2019,
114224_47013,365,0.4930199562579752,0.4073072251220621,-0.0715386803958579,2019,
105370_45440,362,0.3898793818424069,0.3024221081852505,0.3283917232673116,2019,
106490_45366,357,0.442777634670659,0.3428140999136268,0.2992534909143072,2019,
114189_48364,361,0.5853737309816206,0.4469900147252613,0.2947430535668905,2019,
111987_46850,346,0.534460626119547,0.4187599266453828,0.2445799070563403,2019,
109455_47049,357,0.4693101422673743,0.3735743698363044,-0.0384613251005907,2019,
107862_48318,365,0.4385680485756371,0.3333768910565876,0.2706725983354339,2019,
104677_47868,365,0.483003697198848,0.3824673347820919,0.015785013956339,2019,
113155_47122,110,0.5363474274773469,0.3908907796091707,0.1976343100491669,2019,
114001_45860,118,0.3631189750391458,0.3067891283959169,0.4822793351707285,2019,
115672_47955,106,0.3999129537459595,0.3193545216152226,0.3681568510668233,2019,
114270_47773,93,0.3905243466717292,0.3212118942056884,0.3844721315178261,2019,
106557_45648,120,0.5293822529507084,0.4452850266927911,-0.5361361775815927,2019,
105103_48308,93,0.4404599317570895,0.3671023773552775,0.1699959072061241,2019,
111712_46826,94,0.4812562072087905,0.4034552658871318,0.1618236228783141,2019,
108720_47582,107,0.4008055345140161,0.310991523119456,0.2780091182310772,2019,
113997_48510,106,0.4625196471438181,0.3777324484358086,0.0796881012456994,2019,
104476_48487,104,0.3492491929552999,0.2678659130138988,0.3663330768952143,2019,
115553_48392,726,0.5094566149013894,0.3956795902986633,0.3353994137646122,2018-2019,
114021_46842,727,0.5014960334247988,0.3987272111611826,0.1155507076394866,2018-2019,
114158_46244,715,0.7496870414190034,0.6093838018589441,0.1438018134434203,2018-2019,
115324_47594,719,0.4893705209565491,0.3754651615111942,0.2632175684697837,2018-2019,
112501_46003,730,0.880046325354143,0.714906351639686,-0.2280186730200835,2018-2019,
111092_44658,721,0.8526792752912429,0.6878939082831474,-0.1950534110404091,2018-2019,
112013_46659,730,0.6403683337110729,0.5080164250232618,0.0019892367228468,2018-2019,
111303_47494,727,0.3691303883788107,0.2873566122725775,0.4034162228632748,2018-2019,
111056_45684,710,0.5556358595210232,0.452364147544428,-0.5030259898663609,2018-2019,
114224_47013,697,0.4390920543350493,0.3481155412538877,0.2175329456557861,2018-2019,
105370_45440,727,0.4279089556788418,0.3263708400231054,0.4237453432562861,2018-2019,
106490_45366,707,0.5441272223546124,0.4403873685379639,0.1293104030103119,2018-2019,
114189_48364,726,0.6640916820802241,0.500877772267944,0.1775290525404551,2018-2019,
111987_46850,711,0.5745318103687811,0.451930147198774,0.2702263383078469,2018-2019,
109455_47049,722,0.5272787181452778,0.4192604092575807,0.0844858135331266,2018-2019,
107862_48318,726,0.4484896801006056,0.3428441074841682,0.4037301412587653,2018-2019,
104677_47868,704,0.4988185077808148,0.3937517496543858,0.088426031430247,2018-2019,
108720_47582,222,0.4027027976476662,0.3070976759923952,0.5285217538817653,2018-2019,
113997_48510,221,0.503621240035481,0.4053877602593588,0.4061623541647886,2018-2019,
111712_46826,147,0.4370068403986005,0.3484077269180405,0.4461774390683706,2018-2019,
113155_47122,223,0.5180217399514471,0.4085085707117912,0.4029806191200811,2018-2019,
114001_45860,236,0.4176878540601892,0.3346198092232532,0.5586772813029022,2018-2019,
115672_47955,218,0.4453833459764872,0.3423521875538525,0.5659309036764861,2018-2019,
104476_48487,216,0.4706009936585438,0.3677047848737015,0.3020027094448276,2018-2019,
114270_47773,211,0.4739412571251461,0.3805869836562034,0.5313238461391141,2018-2019,
105103_48308,198,0.5258293884070625,0.4195275762082393,0.2865906724178163,2018-2019,
106557_45648,235,0.4180418963059271,0.3466142899513733,0.3876389328728727,2018-2019,
