fold,site,n_train,n_test,train_time,infer_time,fold_time,years,model
0,115553_48392,2000,361,3.1761516015976667,0.1362170707434415,3.5984078217297792,2019,
1,114021_46842,2000,362,2.0115270502865314,0.1171458847820758,2.135019382461905,2019,
2,114158_46244,2000,364,1.8625715617090464,0.1194152440875768,1.987389907240868,2019,
3,115324_47594,2000,362,1.7586713880300522,0.0876876208931207,1.8522847685962915,2019,
4,112501_46003,2000,365,1.3184565007686615,0.0556519776582717,1.3780432529747486,2019,
5,111092_44658,2000,361,1.2502971664071083,0.0568520482629537,1.3115815352648497,2019,
6,113484_47177,2000,365,1.242969524115324,0.0575443562120199,1.3052575942128897,2019,
7,112013_46659,2000,365,1.25745540112257,0.0564947761595249,1.316880326718092,2019,
8,111303_47494,2000,365,1.2511281725019217,0.0577085055410862,1.312505317851901,2019,
9,111056_45684,2000,352,1.2522600684314966,0.0571664348244667,1.3129025381058457,2019,
10,114224_47013,2000,365,1.2560896538197994,0.0580679755657911,1.3171521201729774,2019,
11,105370_45440,2000,362,1.2557285316288471,0.058435708284378,1.318985402584076,2019,
12,106490_45366,2000,357,1.2521942928433418,0.0578410495072603,1.3129997998476028,2019,
13,114189_48364,2000,361,1.261549087241292,0.0574596282094717,1.3218907043337822,2019,
14,111987_46850,2000,346,1.289453549310565,0.0628956984728574,1.355934439226985,2019,
15,109455_47049,2000,357,1.2582120057195425,0.056848045438528,1.318196602165699,2019,
16,107862_48318,2000,365,1.2524866554886105,0.0581642463803291,1.314413532614708,2019,
17,104677_47868,2000,365,1.2526819873601198,0.0586119685322046,1.3154387138783932,2019,
18,113155_47122,2000,110,1.2574226465076208,0.0625078473240137,1.3229651767760515,2019,
19,114001_45860,2000,118,1.2801655605435371,0.0594812948256731,1.342671925202012,2019,
20,115672_47955,2000,106,1.255882477387786,0.0583553165197372,1.3172140959650278,2019,
21,114270_47773,2000,93,1.2517311070114374,0.0581842958927154,1.3137158639729023,2019,
